category,index,label,native_file,reference_512_file,source_crop,status
Ancestry,1,Skeldran,01_Ancestry/Ancestry_01_Skeldran__EXACT_CROP.png,01_Ancestry/Ancestry_01_Skeldran__512_REFERENCE.png,"x=15, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Ancestry,2,Asterian,01_Ancestry/Ancestry_02_Asterian__EXACT_CROP.png,01_Ancestry/Ancestry_02_Asterian__512_REFERENCE.png,"x=157, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Ancestry,3,Serathi,01_Ancestry/Ancestry_03_Serathi__EXACT_CROP.png,01_Ancestry/Ancestry_03_Serathi__512_REFERENCE.png,"x=302, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Ancestry,4,Kaishin,01_Ancestry/Ancestry_04_Kaishin__EXACT_CROP.png,01_Ancestry/Ancestry_04_Kaishin__512_REFERENCE.png,"x=445, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Ancestry,5,Vesperan,01_Ancestry/Ancestry_05_Vesperan__EXACT_CROP.png,01_Ancestry/Ancestry_05_Vesperan__512_REFERENCE.png,"x=583, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Ancestry,6,Outer Isles,01_Ancestry/Ancestry_06_Outer_Isles__EXACT_CROP.png,01_Ancestry/Ancestry_06_Outer_Isles__512_REFERENCE.png,"x=725, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Religion,1,Old Gods,02_Religion/Religion_01_Old_Gods__EXACT_CROP.png,02_Religion/Religion_01_Old_Gods__512_REFERENCE.png,"x=901, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Religion,2,Pantheon,02_Religion/Religion_02_Pantheon__EXACT_CROP.png,02_Religion/Religion_02_Pantheon__512_REFERENCE.png,"x=1043, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Religion,3,Covenant,02_Religion/Religion_03_Covenant__EXACT_CROP.png,02_Religion/Religion_03_Covenant__512_REFERENCE.png,"x=1185, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Religion,4,Turning Wheel,02_Religion/Religion_04_Turning_Wheel__EXACT_CROP.png,02_Religion/Religion_04_Turning_Wheel__512_REFERENCE.png,"x=1326, y=235, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,1,Skeldra,03_Homeland/Homeland_01_Skeldra__EXACT_CROP.png,03_Homeland/Homeland_01_Skeldra__512_REFERENCE.png,"x=4, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,2,Asteria,03_Homeland/Homeland_02_Asteria__EXACT_CROP.png,03_Homeland/Homeland_02_Asteria__512_REFERENCE.png,"x=134, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,3,Serath,03_Homeland/Homeland_03_Serath__EXACT_CROP.png,03_Homeland/Homeland_03_Serath__512_REFERENCE.png,"x=264, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,4,Kaishin,03_Homeland/Homeland_04_Kaishin__EXACT_CROP.png,03_Homeland/Homeland_04_Kaishin__512_REFERENCE.png,"x=394, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,5,Vespera,03_Homeland/Homeland_05_Vespera__EXACT_CROP.png,03_Homeland/Homeland_05_Vespera__512_REFERENCE.png,"x=524, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Homeland,6,Outer Isles,03_Homeland/Homeland_06_Outer_Isles__EXACT_CROP.png,03_Homeland/Homeland_06_Outer_Isles__512_REFERENCE.png,"x=654, y=595, w=210, h=210",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,1,House Vaering,04_Affiliation/Affiliation_01_House_Vaering__EXACT_CROP.png,04_Affiliation/Affiliation_01_House_Vaering__512_REFERENCE.png,"x=815, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,2,Skeldran Royal Navy,04_Affiliation/Affiliation_02_Skeldran_Royal_Navy__EXACT_CROP.png,04_Affiliation/Affiliation_02_Skeldran_Royal_Navy__512_REFERENCE.png,"x=923, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,3,Merchant Guild,04_Affiliation/Affiliation_03_Merchant_Guild__EXACT_CROP.png,04_Affiliation/Affiliation_03_Merchant_Guild__512_REFERENCE.png,"x=1031, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,4,Marine Order,04_Affiliation/Affiliation_04_Marine_Order__EXACT_CROP.png,04_Affiliation/Affiliation_04_Marine_Order__512_REFERENCE.png,"x=1140, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,5,Harbor Authority,04_Affiliation/Affiliation_05_Harbor_Authority__EXACT_CROP.png,04_Affiliation/Affiliation_05_Harbor_Authority__512_REFERENCE.png,"x=1248, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
Affiliation,6,Free Captains,04_Affiliation/Affiliation_06_Free_Captains__EXACT_CROP.png,04_Affiliation/Affiliation_06_Free_Captains__512_REFERENCE.png,"x=1356, y=605, w=190, h=190",APPROVED REFERENCE — derived directly from supplied approved identity sheet
